,,,,,UVa Bookstores Web List,,,10/23/2019,,9:48:28AM
,,,,,Copyright University of Virginia,,,,,
Term,Dept,Course,Sect,Instructor,Title,Author,Req Type,ISBN,New,Used
2019VUVA,ANTH,2430,100,MIRZAYAN,**DYING WORDS,EVANS,Required,0-631-23306-7,$49.75,$37.13
2019VUVA,ANTH,2430,100,MIRZAYAN,INTRODUCTION TO THE LANGUAGES OF THE WORLDLYOVIN,,Required,0-19-514988-2,$44.95,$33.55
2019VUVA,ANTH,2440,100,LEFKOWITZ,AMERICA ON FILM,BENSHOFF,Required,1-4051-7055-7,$55.00,$39.70
2019VUVA,ANTH,2440,100,LEFKOWITZ,OVERHEARING FILM DIALOGUE,KOZLOFF,Required,978-0-520-22138-3,$39.94,$23.85
2019VUVA,ANTH,2541,1,MORGENSTERN,BECAUSE INTERNET,MCCULLOCH,Required,978-0-7352-1093-6,$26.00,$19.50
2019VUVA,ANTH,2559,1,JERNIGAN,THERE THERE,ORANGE,Required,978-0-525-43614-0,$16.00,$12.00
2019VUVA,ANTH,2800,100,"TRELLA, PHIL",CAHOKIA,PAUKETAT,Required,0-14-311747-5,$16.00,$11.25
2019VUVA,ANTH,2800,100,"TRELLA, PHIL",ARCHAEOLOGICAL THINKING,ORSER,Required,1-4422-2698-6,$35.00,$26.12
2019VUVA,ANTH,2800,100,"TRELLA, PHIL",*ARCHAEOLOGY ESSENTIALS W/CODE,BAHN,Required,978-0-500-84138-9,$78.67,$59.00
2019VUVA,ANTH,3010,1,"PALAZZO, SUSAN",POSTMODERNISM FOR BEGINNERS,POWELL,Required,1-934389-09-9,$16.99,$8.46
2019VUVA,ANTH,3010,1,"PALAZZO, SUSAN",ANTHROPOLOGICAL THEORY,MCGEE,Required,978-1-4422-5702-3,$105.00,$78.36
,,,,,Page 2 of 79,,,,,
Term,Dept,Course,Sect,Instructor,Title,Author,Req Type,ISBN,New,Used
2019VUVA,ANTH,3010,1,"PALAZZO, SUSAN",STRUCTURALISM & POSTSTRUCTURALISM FOR BEGINNERSPALMER,,Required,978-1-934389-10-2,$16.99,$8.47
2019VUVA,ANTH,3010,1,"PALAZZO, SUSAN",POSTCOLONIALISM: A VERY SHORT INTRO,YOUNG,Required,978-0-19-280182-1,$11.95,$8.93
2019VUVA,ANTH,3100,1,IGOE,OUR HISTORY IS FUTURE,ESTES,Recommended,978-1-78663-672-0,$26.95,$20.21
2019VUVA,ANTH,3100,1,IGOE,AS LONG AS GRASS GROWS,GILIO-WHITAKER,Required,978-0-8070-7378-0,$25.95,$18.75
2019VUVA,ANTH,3129,1,"SHEPHERD,JOHN R",PLAGUES & PEOPLES,MCNEILL,Required,0-385-12122-9,$13.60,$8.45
2019VUVA,ANTH,3129,1,"SHEPHERD,JOHN R",MARRIAGE & MANDATORY ABORTION AMONG THE 17TH-CENTURY SIRAYASHEPHERD,,Required,0-913167-71-1,$20.00,$15.20
2019VUVA,ANTH,3129,1,"SHEPHERD,JOHN R",DEMOGRAPHY,YAUKEY,Required,1-57766-488-4,$53.95,$10.00
2019VUVA,ANTH,3129,1,"SHEPHERD,JOHN R",OUR SHRINKING PLANET,BACCI,Required,1-5095-1584-4,$19.95,$11.91
2019VUVA,ANTH,3152,1,"MENTORE,GEORGE",CONSUMING GRIEF,CONKLIN,Required,0-292-71236-7,$26.95,$20.12
2019VUVA,ANTH,3152,1,"MENTORE,GEORGE",CHRONICLE OF THE GUAYAKI INDIANS,CLASTRES,Required,0-942299-78-7,$21.95,$13.10
2019VUVA,ANTH,3152,1,"MENTORE,GEORGE",**ANTHROPOLOGY OF LOVE & ANGER,OVERING,Required,0-415-22418-7,$56.95,$42.51
2019VUVA,ANTH,3152,1,"MENTORE,GEORGE",FALLING SKY,KOPENAWA,Required,978-0-674-72468-6,$39.95,$20.40
2019VUVA,ANTH,3152,1,"MENTORE,GEORGE",(eBook) The Anthropology of Love and Anger,OVERING,Optional,978-1-134-59230-2,$28.48,$0.00
2019VUVA,ANTH,3155,1,DAMON,AND THEY ALL SANG HALLELUJAH,BRUCE,Attnd First,0-87049-310-8,$20.00,$14.93
2019VUVA,ANTH,3155,1,DAMON,SHOPKEEPER'S MILLENNIUM 25TH ANNIV ED,JOHNSON,Attnd First,0-8090-1635-4,$13.21,$8.42
2019VUVA,ANTH,3155,1,DAMON,ROCKDALE,WALLACE,Attnd First,0-8032-9853-6,$24.00,$18.00
2019VUVA,ANTH,3155,1,DAMON,LIAR'S POKER,LEWIS,Attnd First,0-393-33869-X,$15.95,$7.93
2019VUVA,ANTH,3155,1,DAMON,BIG SHORT,LEWIS,Attnd First,0-393-33882-7,$15.95,$7.94
2019VUVA,ANTH,3155,1,DAMON,FAST FOOD NATION W/NEW AFTERWORD,SCHLOSSER,Required,0-547-75033-1,$15.95,$7.94
2019VUVA,ANTH,3155,1,DAMON,EVERYTHING IN ITS PLACE,PERIN,Required,978-0-691-61644-5,$44.95,$33.55
2019VUVA,ANTH,3155,1,DAMON,STRANGERS IN THEIR OWN LAND,HOTHSCHILD,Required,1-62097-349-9,$17.99,$9.91
2019VUVA,ANTH,3155,1,DAMON,(ebook) The Big Short: Inside the Doomsday Machine,LEWIS,Optional,978-0-393-07819-0,$15.95,$0.00
2019VUVA,ANTH,3155,1,DAMON,(ebook) Liar's Poker,LEWIS,Optional,978-0-393-06625-8,$16.95,$0.00
2019VUVA,ANTH,3155,1,DAMON,(eBook) Everything In Its Place,PERIN,Optional,978-1-4008-5423-3,$41.95,$0.00
