Dept,Course,Title,Author,New,Used,
ANTH,3155,LIAR'S POKER,LEWIS,$15.95 ,$7.93 ,
ANTH,3155,BIG SHORT,LEWIS,$15.95 ,$7.94 ,
ANTH,3155,FAST FOOD NATION W/NEW AFTERWORD,SCHLOSSER,$15.95 ,$7.94 ,
ANTH,3155,EVERYTHING IN ITS PLACE,PERIN,$44.95 ,$33.55 ,
ANTH,3155,STRANGERS IN THEIR OWN LAND,HOTHSCHILD,$17.99 ,$9.91 ,
ANTH,3155,(ebook) The Big Short: Inside the Doomsday Machine,LEWIS,$15.95 ,$0.00 ,
ANTH,3155,(ebook) Liar's Poker,LEWIS,$16.95 ,$0.00 ,
ANTH,3155,(eBook) Everything In Its Place,PERIN,$41.95 ,$0.00 ,
ANTH,3290,LIFE & TIMES OF MICHAEL K,COETZEE,$14.62 ,$7.46 ,
ANTH,3290,A WAR ON PEOPLE,ZIGON,$34.95 ,$24.45 ,
ANTH,3290,LIFE EXPOSED: BIOLOGICAL CITIZENS AFTER CHERNOBYLPETRYNA,,$26.95 ,$20.12 ,
ANTH,3290,(eBook) Life Exposed,PETRYNA,$25.15 ,$0.00 ,
ANTH,3290,CASUALTIES OF CARE,TICKTIN,$46.60 ,$26.09 ,
ANTH,3589,INCAS AND THEIR ANCESTORS,MOSELEY,$34.95 ,$26.09 ,
ANTH,4591,SURVIVAL IN AUSCHWITZ W/NEW AFTERWORD,LEVI,$16.00 ,$7.97 ,
ANTH,4591,REGARDING THE PAIN OF OTHERS,SONTAG,$16.00 ,$7.97 ,
ANTH,4591,REMNANTS OF AUSCHWITZ,AGAMBEN,$21.95 ,$10.93 ,
ANTH,4591,BURY MY HEART AT WOUNDED KNEE,BROWN,$20.00 ,$9.96 ,
ANTH,4591,ANATOMY OF A LYNCHING,MCGOVERN,$19.95 ,$14.90 ,
ANTH,4591,EVIL MAN,DAWES,$17.00 ,$8.46 ,
ANTH,4591,ARCHAEOLOGY OF SLAVERY,MARSHALL,$50.00 ,$37.50 ,
ANTH,4591,BLACK FEMINIST ARCHAEOLOGY,BATTLE-BAPTISTE,$45.95 ,$29.95 ,
ANTH,5210,AMERICAN KINSHIP,SCHNEIDER,$23.00 ,$17.16 ,
ANTH,5210,REMOTELY GLOBAL,PIOT,$28.00 ,$20.90 ,
ANTH,5210,ELEMENTARY STRUCTURES OF KINSHIP,LEVI-STRAUSS,$43.00 ,$32.09 ,
ANTH,5210,DEVELOPMENT OF THE FAMILY & MARRIAGE IN EUROPEGOODY,,$34.99 ,$26.25 ,
ANTH,5210,FIXER,PIOT,$24.95 ,$18.70 ,
ANTH,5210,(eBook) The Development of the Family and Marriage in EuropeGOODY,,$26.13 ,$0.00 ,
ANTH,5210,(eBook) American Kinship,SCHNEIDER,$21.47 ,$0.00 ,
ANTH,5470,DEAF IN AMERICA,PADDEN,$29.00 ,$14.43 ,
ANTH,5470,HOMEGIRLS,MENDOZA-DENTONRequired,$48.95 ,$38.06 ,
ANTH,5470,ARTICULATE WHILE BLACK,ALIM,$29.22 ,$22.36 ,
ANTH,5470,RECLAIMING BASQUE,URLA,$34.95 ,$26.09 ,
ANTH,5470,PLAYING WITH LANGUAGES,PAUGH,$34.95 ,$26.09 ,
ANTH,5470,BECOMING FRUM,BENOR,$33.95 ,$23.10 ,
ANTH,5510,ANXIOUS WEALTH,OSBURG,$24.00 ,$21.64 ,
ANTH,5510,GOOD CHILD,XU,$28.00 ,$21.00 ,
ANTH,5510,INFECTIOUS CHANGER,"MASON,KATHERINERequired",$28.00 ,$21.00 ,
ANTH,5510,THE WORLD IN GUANGXHOU,"MATTHEWS,GORDONRequired",$27.50 ,$20.52 ,
,,Page 3 of 79,,,,
Dept,Course,Title,Author,New,Used,
ANTH,5510,CHOOSING DAUGHTERS,"SHI,LIHONG",$28.00 ,$13.91 ,
ANTH,5510,BUILDING CHINA,"SWINDER,SARAH",$24.95 ,$18.71 ,
ANTH,5510,CENSORED,ROBERTS,$29.90 ,$22.45 ,
ANTH,5510,(eBook) Censored,ROBERTS,$27.95 ,$0.00 ,
ANTH,5541,INTRO TO LINGUISTIC TYPOLOGY,VELUPILLAI,$49.95 ,$37.28 ,
ANTH,5559,ON THE GENEALOGY MORALS & ECCE HOMO,NIETZSCHE,$10.87 ,$7.93 ,
ANTH,5559,BEING & TIME REV & W/FOREWORD BY SCHMIDT,HEIDEGGER,$21.95 ,$14.15 ,
ANTH,5559,HUMAN CONDITION,ARENDT,$19.00 ,$11.34 ,
ANTH,5559,A WAR ON PEOPLE,ZIGON,$34.95 ,$24.45 ,
ANTH,5559,BLACKPENTECOSTAL BREATH,CRAWLEY,$25.00 ,$17.49 ,
ANTH,5559,CARNAL HERMENEUTICS,KEARNEY,$40.00 ,$30.00 ,
ANTH,5559,NATALITY AND FINITUDE,O'BYRNE,$22.95 ,$17.20 ,
ANTH,5559,ETHICAL LONELINESS,STAUFFER,$27.00 ,$20.25 ,
ANTH,5559,LIFE AND DEATH OF LATISHA KING,SALAMON,$23.00 ,$17.25 ,
ANTH,5559,SOLITARY CONFINEMENT,GUENTHER,$25.00 ,$18.66 ,
ANTH,5559,(eBook) The Life and Death of Latisha King,SALAMON,$24.00 ,$0.00 ,
ANTH,5559,HOMO SACER,AGAMBEN,$24.00 ,$17.21 ,
ANTH,5589,LAND OF OPEN GRAVES,DE LEÓN,$29.95 ,$22.50 ,
ANTH,5589,(eBook) The Land of Open Graves,DE LEÓN,$27.95 ,$0.00 ,
ANTH,5589,ARCHAEOLOGIES OF COLONIALISM,DIETLER,$46.60 ,$34.95 ,
ANTH,5589,WRETCHED KUSH,SMITH,$46.95 ,$35.20 ,
ANTH,5589,SOUTHEAST INKA FRONTIERS,ALCONINI,$79.95 ,$59.95 ,
ANTH,5589,"UNTAMING THE FRONTIER IN ANTHROPOLOGY, ARCHAEOLOGY, AND HISTORYPARKER",,$29.95 ,$22.45 ,
ANTH,7010,GIFT,MAUSS,$15.95 ,$11.95 ,
ANTH,7010,PATTERNS OF CULTURE W/NEW FOREWORD,BENEDICT,$15.95 ,$12.09 ,
ANTH,7010,MULES & MEN P.S. ED,HURSTON,$15.99 ,$10.59 ,
ANTH,7100,OUR HISTORY IS FUTURE,ESTES,$26.95 ,$20.21 ,
ANTH,7129,PLAGUES & PEOPLES,MCNEILL,$13.60 ,$8.45 ,
ANTH,7129,MARRIAGE & MANDATORY ABORTION AMONG THE 17TH-CENTURY SIRAYASHEPHERD,,$20.00 ,$15.20 ,
ANTH,7129,DEMOGRAPHY,YAUKEY,$53.95 ,$10.00 ,
ANTH,7129,OUR SHRINKING PLANET,BACCI,$19.95 ,$11.91 ,
ANTH,7400,MAKING SENSE OF LANGUAGE,BLUM,$59.95 ,$42.70 ,
ANTH,7400,BECAUSE INTERNET,MCCULLOCH,$26.00 ,$19.50 ,
ANTH,7400,"LOOKING LIKE A LANGUAGE, SOUNDING LIKE A RACEROSA",,$39.95 ,$29.95 ,
APMA,1090,*ENHANCED WEBASSIGN W/EBook STEWART,STEWART,$117.19 ,$93.75 ,
APMA,1090,*CALCULUS EARLY TRANSCENDENTALS LL W/ ACCESS CODESTEWART,,$151.76 ,$129.00 ,
APMA,1110,*CALCULUS EARLY TRANSCENDENTALS LL W/ ACCESS CODESTEWART,,$151.76 ,$129.00 ,
APMA,2120,*ENHANCED WEBASSIGN W/EBook STEWART,STEWART,$117.19 ,$93.75 ,
APMA,2120,*CALCULUS EARLY TRANSCENDENTALS LL W/ ACCESS CODESTEWART,,$151.76 ,$129.00 ,
APMA,2130,**ORDINARY DIFFERENTIAL EQUATIONS CUSTOM,BOYCE,$76.45 ,$56.57 ,
APMA,2511,*CALCULUS EARLY TRANSCENDENTALS LL W/ ACCESS CODESTEWART,,$151.76 ,$129.00 ,
APMA,3080,LINEAR ALGEBRA WITH APPLICATIONS,HOLT,$155.28 ,$131.34 ,
APMA,3080,(eBook) Linear Algebra with Applications,HOLT,$55.99 ,$0.00 ,
APMA,3100,PROBABILITY AND STOCHASTIC PROCESSES,YATES,$190.95 ,$142.99 ,
APMA,3100,(eBook) Probability and Stochastic Processes,YATES,$36.00 ,$0.00 ,
APMA,3110,**INCLUSIVE ACCESS: STATISTICS FOR SCIENTISTS & ENGINEERSNAVIDI,,$83.66 ,$64.00 ,
APMA,3120,PROBABILITY & STATISTICS FOR ENGINEERING AND THE SCIENCESDEVORE,,$176.47 ,$139.93 ,
APMA,3120,(eBook) Probability and Statistics for Engineering and the SciencesDEVORE,,$27.99 ,$0.00 ,
APMA,3150,"(eBook) Using R for Introductory Statistics, Second EditionVERZANI",,$28.98 ,$0.00 ,
APMA,3150,USING R FOR INTRODUCTORY STATISTICS,VERZANI,$71.95 ,$53.70 ,
ARAB,1010,"**AL-KITAAB FII, ETC: PART ONE, TXTBK FOR BEG ARABIC (W/MEDIA)BRUSTAD",,$53.81 ,$49.45 ,
ARAB,1010,**ALIF BAA W/MULTIMEDIA (W/CD ONLY),BRUSTAD,$44.95 ,$19.85 ,
ARAB,2010,"**AL-KITAAB FII, ETC: PART ONE, TXTBK FOR BEG ARABIC (W/MEDIA)BRUSTAD",,$53.81 ,$49.45 ,
ARAB,2250,**SPOKEN LEVANTINE ARABIC: AN INTRODUCTION,SAWAIE,$40.00 ,$30.00 ,
ARAB,3010,"**AL-KITAAB FII, ETC: TXTBK FOR ARABIC PART TWO (W/3 CD'S )BRUSTAD",,$69.95 ,$32.49 ,
,,Page 4 of 79,,,,
Dept,Course,Title,Author,New,Used,
ARAB,3810,**ARAB 3810 / 5810 PACKET (10V): MODEREN FICTION IN ARABICAL-SAMMAN,,$40.00 ,$29.85 ,
ARAB,4010,NO BOOK ORDERED,NO BOOK,$0.00 ,$0.00 ,
ARAB,5410,NO BOOK ORDERED,NO BOOK,$0.00 ,$0.00 ,
ARAB,5810,**ARAB 3810 / 5810 PACKET (10V): MODEREN FICTION IN ARABICAL-SAMMAN,,$40.00 ,$29.85 ,
ARAD,3100,MANAGING THE NONPROFIT ORGANIZATION,DRUCKER,$16.99 ,$12.69 ,
ARAD,3100,ARTS MANAGEMENT,ROSEWALL,$65.95 ,$49.22 ,
ARAD,4050,ARTS MARKETING INSIGHTS,BERNSTEIN,$32.95 ,$16.40 ,
ARAD,4500,WIRED TO CREATE,KAUFMAN,$17.00 ,$8.45 ,
ARAH,8051,ART HISTORY,HATT,$25.00 ,$18.75 ,
ARAH,9515,FRAGMENTATION & REDEMPTION,BYNUM,$23.41 ,$16.09 ,
ARAH,9515,POWERS OF HORROR,KRISTEVA,$31.04 ,$24.75 ,
ARAH,9515,FORBIDDEN RITES,KIECKHEFER,$36.95 ,$27.70 ,
ARAH,9515,MAGIC IN THE MIDDLE AGES,KIECKHEFER,$19.99 ,$14.15 ,
ARAH,9535,MONOCHROME,PACKER,$50.00 ,$37.50 ,
ARCH,1010,TOWARDS A NEW ARCHITECTURE,LECORBUSIER,$16.95 ,$8.42 ,
ARCH,1010,COMPLEXITY & CONTRADICTION IN ARCH (2ND),VENTURI,$24.95 ,$11.91 ,
ARCH,1010,CIVILIZING TERRAINS (3RD REV)(WILLIAM STOUT PUBLISHERS)MORRISH,,$30.00 ,$22.39 ,
ARCH,1010,FIELD GUIDE TO GETTING LOST,SOLNIT,$18.00 ,$8.96 ,
ARCH,1010,SHAPE OF A POCKET,BERGER,$16.00 ,$7.96 ,
ARCH,1010,**DAEDALUS 9,HILDNER,$47.00 ,$35.25 ,
ARCH,1020,EXPERIENCING ARCHITECTURE,RASMUSSEN,$27.00 ,$20.25 ,
ARCH,1020,THINKING ARCHITECTURE,ZUMTHOR,$49.00 ,$36.75 ,
ARCH,3240,STRUCTURES OR WHY THINGS DON'T FALL DOWN,GORDON,$19.99 ,$11.31 ,
ARCH,3240,STRUCTURES,SCHODEK,$147.05 ,$124.05 ,
ARCH,3240,**ARCH 3240 / 7240 COURSE PACKET: STRUCTURAL DESIGNMARTINI,,$9.00 ,$0.00 ,
ARCH,3240,(eBook) Structures,SCHODEK,$39.99 ,$0.00 ,
ARCH,7240,STRUCTURES OR WHY THINGS DON'T FALL DOWN,GORDON,$19.99 ,$11.31 ,
ARCH,7240,STRUCTURES,SCHODEK,$147.05 ,$124.05 ,
ARCH,7240,**ARCH 3240 / 7240 COURSE PACKET: STRUCTURAL DESIGNMARTINI,,$9.00 ,$0.00 ,
ARCH,7240,(eBook) Structures,SCHODEK,$39.99 ,$0.00 ,
ARH,1010,**ART OF WRITING & ART THROUGH AGES W/MINDTAPHUDSON,,$264.12 ,$224.50 ,
ARH,1010,**LL:ART THRU AGES & ART OF WRITING EBOOK W/MINDTAPHUDSON,,$126.46 ,$107.49 ,
ARH,1010,**LL:ART THR AGES & ART OF WRITING W/MINDTAPHUDSON,,$170.59 ,$145.00 ,
ARH,7010,**ART OF WRITING & ART THROUGH AGES W/MINDTAPHUDSON,,$264.12 ,$224.50 ,
ARH,7010,**LL:ART THRU AGES & ART OF WRITING EBOOK W/MINDTAPHUDSON,,$126.46 ,$107.49 ,
ARH,7010,**LL:ART THR AGES & ART OF WRITING W/MINDTAPHUDSON,,$170.59 ,$145.00 ,
ARTH,1503,THINKING & WRITING ABOUT ART HISTORY,REID,$39.99 ,$27.99 ,
ARTH,1503,**BRIEF HISTORY OF ANCIENT ASTROLOGY,BECK,$37.95 ,$28.31 ,
ARTH,1503,**ANCIENT ASTROLOGY,BARTON,$46.95 ,$35.03 ,
ARTH,1503,STARS AND PLANETS,RIDPATH,$22.00 ,$16.50 ,
ARTH,1503,(eBook) Ancient Astrology,BARTON,$23.48 ,$0.00 ,
ARTH,1505,SEVEN DAYS IN THE ART WORLD,THORNTON,$16.95 ,$8.43 ,
ARTH,2054,HISTORY OF ROMAN ART,TUCK,$69.75 ,$52.06 ,
ARTH,2054,(eBook) A History of Roman Art,TUCK,$55.99 ,$0.00 ,
ARTH,2251,PAINTING & EXPERIENCE IN 15TH CENTURY ITALY,BAXANDALL,$19.95 ,$9.91 ,
ARTH,2251,"ITALIAN RENAISSANCE ART VOL.1 1300-1510, 2ND EDCAMPBELL & COLE Required",,$86.67 ,$65.00 ,
ARTH,2281,BAROQUE,MARTIN,$43.46 ,$39.97 ,
ARTH,2281,ITALIAN & SPANISH ART 1600-1750,ENGGASS,$21.00 ,$15.67 ,
ARTH,2281,BAROQUE AND ROCOCO ART AND ARCHITECTURE NEUMAN,,$149.00 ,$104.48 ,
ARTH,2281,(eBook) Baroque and Rococo Art and Architecture,NEUMAN,$39.99 ,$0.00 ,
ARTH,2471,ART SINCE 1900 VOL. 2,FOSTER,$82.67 ,$57.84 ,
ARTH,2861,ASIAN ART,NEAVE,$140.40 ,$104.48 ,
ARTH,2861,(ebook) Asian Art,NEAVE,$34.99 ,$0.00 ,
ARTH,2871,INDIAN ART,DEHEJIA,$29.95 ,$22.39 ,
ARTH,3051,ATHENIAN BLACK FIGURE VASES,BOARDMAN,$21.95 ,$10.93 ,
,,Page 5 of 79,,,,
Dept,Course,Title,Author,New,Used,
ARTH,3051,ATHENIAN RED FIGURE VASES: CLASSICAL PERIODBOARDMAN,,$17.08 ,$10.91 ,
ARTH,3051,**LOOKING AT GREEK VASES,RASMUSSEN,$41.99 ,$32.09 ,
ARTH,3051,HISTORY OF GREEK VASES,BOARDMAN,$29.95 ,$14.88 ,
ARTH,3051,EARLY GREEK VASE PAINTING,BOARDMAN,$14.95 ,$6.99 ,
ARTH,3051,ATHENIAN RED FIGURE VASES: ARCHAIC PERIOD,BOARDMAN,$21.95 ,$10.93 ,
ARTH,3595,,PENNEY,$23.95 ,$17.96 ,
ARTH,3595,,BERLO,$65.95 ,$52.76 ,
ARTH,4591,HOW PRINTS LOOK REV & EXPD,IVINS,$27.50 ,$10.94 ,
ARTH,4591,PRINTS & PRINTMAKING,GRIFFITHS,$38.95 ,$29.07 ,
ARTH,4591,HOW TO IDENTIFY PRINTS,GASCOIGNE,$21.62 ,$17.39 ,
ARTH,4591,CRAFT OF OLD-MASTER DRAWINGS,WATROUS,$24.95 ,$18.63 ,
ARTH,4591,MASTER DRAWINGS: CLOSE UP,BROOKS,$18.41 ,$18.00 ,
